userID,userpassword,registcard,mileage
u8s0e9r,p6as8s,2040124828091994,5300
9u50ser,p0ass,2040295724712206,3200
80u9s84er,0010pass,2040455615564465,6400
u64ser,34p8ass,2040401623672591,7300
9us98299er,1p1a3s461s,2040355932002404,5950
us5e1r,423p0as66s,2040283244891493,8000
u35843ser,7pa1s0s,2040216216591196,850
us8er,pa6s8s,2040392734121061,4800
13u8ser,pa0s7s,2040280819413493,3550
2u97se9r,p2as04s,2040231741061706,3800
17use21r,0p46a7s50s,2040368840262069,2950
u123s0er,pa97s0803s,2040384620641699,3500
user,pa07s86s,2040193045343678,6500
us8e784r,0p65ass,2040447437603222,4650
u6s32er,p637163ass,2040142543234606,5700
us55e79r,pass,2040105947344065,3650
us6er,8p9as93s,2040373722963496,4800
u32s10e6r,3p68a1ss,2040180342021170,4050
99274us8er,pas4s,2040353526313829,2900
540us26e5r,p84394ass,2040256133812040,7450
u54s47er,001p57ass,2040100244482657,5400
5u523ser,p76a8s60s,2040429233913437,7450
u18se33r,p5a23ss,2040389829464235,6500
2u5s2e74r,82pa4997ss,2040361326131486,6800
05u6s34e8r,p435as69s,2040357437454430,4650
5u6ser,p0a819s6s,2040450937632049,3600
use2r,04p94as8s,2040251145814849,7100
u5s91e0r,pa36s0s,2040441918531003,5400
0u8ser,pass,2040139433232686,6800
u0s7e690r,94p6ass,2040347921411014,2200
wasd123,123,2040454524592880,0
